"Letöltés idõpontja","2024.08.19. 21:49"
"Alap neve:","HOLD VM Abszolút Származtatott Befektetési Alap"
"Befektetési sorozat megjelölése:","A sorozat"
"Befektetési jegy devizaneme:","HUF"
"Kategória:","Abszolút hozamú"
"Földrajzi kitettség:","Globális"
"Devizális kitettség:",""
"Egyéb jellemzõ kitettség:",""
"Hozam/kockázat mutató:","3"
"Bef. politika rövid leírása:","Az Alap potenciális befektetési területe a lehetõ legszélesebb és globális: bankbetétek, hazai és nemzetközi részvények illetve kötvények, devizák, egyéb befektetési eszközök, valamint ezekre és árupiaci termékekre vonatkozó származtatott ügyletek. A hagyományos befektetési alapoktól a széles eszköztáron túl abban tér el, hogy nem csak emelkedõ, de esõ piacon is van lehetõsége hozamot elérni. 

Az Alapkezelõ az Alap sikeres kezelése érdekében várhatóan befektetési tanácsokat vesz igénybe olyan társaságtól/társaságoktól, amelyek rendelkeznek befektetési tanácsadásra vonatkozó engedéllyel.

Az Alap célja az állampapírok által biztosított hozamnál nagyobb hozam elérése addicionális kockázat vállalása mellett. A többlethozam elérésének érdekében az Alap magasabb kockázatú instrumentumokat is vásárol és ad el, alapvetõen technikai alapú idõzítéssel, az eszközöket szelektíven kiválasztva. Ha viszont az Alapkezelõ nem lát megfelelõ lehetõséget magasabb kockázatú instrumentumokban, akkor alacsony kockázatú eszközökbe fekteti az Alap tõkéjét, egészen addig, amíg jó vételi vagy eladási lehetõségek nem adódnak."
"Alap típusa:","Nyilvános nyíltvégû"
"Alap fajtája:","Származtatott ügyletekbe fektetõ alap"
"Alap indulási dátuma:","2005/10/13"
"Alapkezelõ:","Hold Alapkezelõ Zrt."
"Letétkezelõ:","UniCredit Bank Hungary Zrt."
"1 éves szórás:","2,65%"
"5 éves szórás:","2,46%"
"Dátum","Árfolyam","NEÉ","Kifizetett hozam","Napi befjegy. forgalom","Napi befjegy. forgalom változás(%)","3 hónapos hozam","6 hónapos hozam","1 éves hozam","3 éves hozam","5 éves hozam","10 éves hozam"
"2024/08/15","2,77453","1243762108","0","-319736,78","-0,03%","1,3%","5,88%","13,58%","8,88%","5,77%","2,7%"
"2024/08/14","2,771211","1242593626","0","-6496943,41","-0,52%","1,46%","5,99%","13,53%","8,84%","5,77%","2,68%"
"2024/08/13","2,773126","1249953733","0","-53157,51","-0%","1,78%","6,26%","13,66%","8,86%","5,89%","2,69%"
"2024/08/12","2,77108","1249084641","0","-500194,38","-0,04%","1,59%","6,27%","13,58%","8,83%","5,86%","2,68%"
"2024/08/09","2,770523","1249333663","0","77563,25","0,01%","1,52%","6,4%","13,62%","8,8%","5,84%","2,68%"
"2024/08/08","2,768446","1248319560","0","18864,69","0%","1,48%","6,44%","13,56%","8,8%","5,82%","2,67%"
"2024/08/07","2,761746","1245279645","0","1034411,52","0,08%","1,23%","6,39%","13,31%","8,71%","5,76%","2,64%"
"2024/08/06","2,760992","1243905535","0","22656167,45","1,86%","1,08%","6,36%","13,38%","8,7%","5,76%","2,64%"
"2024/08/05","2,75826","1220040942","0","35419,32","0%","1,57%","6,16%","13,26%","8,66%","5,72%","2,6%"
"2024/08/02","2,759055","1220357159","0","-3501039,57","-0,29%","2,01%","6,13%","13,39%","8,64%","5,71%","2,61%"
"2024/08/01","2,764666","1226347119","0","-1202372,86","-0,1%","2,22%","6,44%","13,51%","8,69%","5,75%","2,63%"
"2024/07/31","2,762189","1226449670","0","-7266561,94","-0,59%","2,12%","6,6%","12,98%","8,66%","5,74%","2,63%"
"2024/07/30","2,759163","1232364686","0","-1854163,49","-0,15%","2,01%","6,45%","12,95%","8,62%","5,72%","2,63%"
"2024/07/29","2,759743","1234478293","0","0,49","0%","1,87%","6,41%","12,97%","8,61%","5,71%","2,63%"
"2024/07/26","2,761761","1235380977","0","139076,23","0,01%","2,08%","6,75%","13,81%","8,61%","5,74%","2,64%"
"2024/07/25","2,760232","1234558031","0","2517,51","0%","2,38%","6,65%","13,79%","8,6%","5,77%","2,64%"
"2024/07/24","2,760679","1234755441","0","17000,55","0%","2,28%","6,65%","13,77%","8,6%","5,76%","2,63%"
"2024/07/23","2,765786","1237022592","0","65076,24","0,01%","2,41%","6,73%","13,98%","8,67%","5,81%","2,64%"
"2024/07/22","2,760533","1234608188","0","4659,71","0%","2,25%","6,48%","13,76%","8,6%","5,81%","2,63%"
"2024/07/19","2,758812","1233833839","0","45608,28","0%","2,66%","6,52%","13,75%","8,56%","5,79%","2,63%"
"2024/07/18","2,763997","1236107052","0","85733,61","0,01%","2,71%","6,84%","14%","8,64%","5,82%","2,65%"
"2024/07/17","2,767663","1237660703","0","-243728,3","-0,02%","2,91%","7,23%","14,15%","8,69%","5,85%","2,66%"
"2024/07/16","2,777583","1242341392","0","-361811,26","-0,03%","2,97%","7,51%","14,43%","8,82%","5,91%","2,69%"
"2024/07/15","2,75768","1233798511","0","270804,39","0,02%","2,27%","6,87%","13,61%","8,56%","5,76%","2,62%"
"2024/07/12","2,755592","1232593731","0","9661,6","0%","1,94%","6,82%","13,77%","8,55%","5,75%","2,6%"
"2024/07/11","2,754174","1231949794","0","-22752,33","-0%","1,5%","6,89%","14,08%","8,52%","5,75%","2,6%"
"2024/07/10","2,745606","1228139985","0","286317,36","0,02%","1,75%","6,76%","13,87%","8,4%","5,68%","2,56%"
"2024/07/09","2,743306","1226825092","0","66582,49","0,01%","1,37%","7,08%","13,81%","8,37%","5,67%","2,56%"
"2024/07/08","2,741046","1225747877","0","24987,51","0%","1,5%","6,83%","13,72%","8,33%","5,66%","2,55%"
"2024/07/05","2,742283","1226276043","0","200022,04","0,02%","1,69%","6,71%","13,92%","8,38%","5,67%","2,54%"
"2024/07/04","2,741945","1225924901","0","60586,22","0%","2,21%","6,63%","13,87%","8,36%","5,66%","2,54%"
"2024/07/03","2,741782","1225791441","0","-1577226,96","-0,13%","1,73%","6,58%","13,9%","8,36%","5,66%","2,54%"
"2024/07/02","2,740858","1226955036","0","831584,49","0,07%","2,12%","6,57%","13,97%","8,35%","5,7%","2,55%"
"2024/07/01","2,737316","1224538937","0","-5839220,59","-0,47%","2,13%","6,5%","13,82%","8,26%","5,71%","2,54%"
"2024/06/28","2,741905","1232440837","0","4650,68","0%","2,3%","6,74%","14,08%","8,3%","5,79%","2,56%"
"2024/06/27","2,744877","1233772046","0","676760,67","0,05%","2,44%","6,89%","14,24%","8,34%","5,85%","2,57%"
"2024/06/26","2,742303","1231938954","0","1980595,21","0,16%","2,62%","6,82%","14,17%","8,3%","5,81%","2,55%"
"2024/06/25","2,744678","1231023577","0","16072,81","0%","2,5%","6,92%","14,4%","8,33%","5,83%","2,56%"
"2024/06/24","2,743662","1230551821","0","27554,24","0%","2,32%","6,88%","14,35%","8,32%","5,79%","2,56%"
"2024/06/21","2,743244","1230336795","0","-1502518,09","-0,12%","2,3%","6,87%","14,36%","8,29%","5,77%","2,55%"
"2024/06/20","2,751622","1235601410","0","56305,73","0%","2,96%","7,24%","14,73%","8,26%","5,81%","2,58%"
"2024/06/19","2,750499","1235040850","0","-258240,78","-0,02%","3,33%","7,39%","14,63%","8,25%","5,83%","2,57%"
"2024/06/18","2,750467","1235284719","0","-15289065,31","-1,23%","3,47%","7,58%","14,6%","8,25%","5,86%","2,56%"
"2024/06/17","2,744764","1247980762","0","5584202,93","0,45%","3,95%","7,23%","14,36%","7,95%","5,89%","2,55%"
"2024/06/14","2,750975","1245207921","0","-0","-0%","4,18%","7,81%","14,79%","8,12%","5,96%","2,57%"
"2024/06/13","2,744753","1242391580","0","816750,73","0,07%","3,89%","7,74%","14,65%","8,09%","5,9%","2,55%"
"2024/06/12","2,745831","1242062457","0","25607,39","0%","3,94%","8%","14,82%","8,11%","5,97%","2,54%"
"2024/06/11","2,738333","1238645238","0","310392,74","0,03%","3,98%","7,9%","14,61%","8,01%","5,9%","2,51%"
"2024/06/10","2,740542","1239333804","0","24994,03","0%","3,8%","8,01%","14,7%","8,13%","5,91%","2,51%"
"2024/06/07","2,733163","1235971930","0","1514054,48","0,12%","3,22%","7,42%","14,39%","8,02%","5,86%","2,48%"
"2024/06/06","2,734373","1235004383","0","135357,7","0,01%","3,07%","7,55%","14,38%","8,05%","5,93%","2,48%"
"2024/06/05","2,737245","1236166048","0","6971,05","0%","3,51%","7,83%","14,52%","8,09%","6,01%","2,49%"
"2024/06/04","2,740525","1237640348","0","-168012,95","-0,01%","3,38%","8,37%","14,63%","8,13%","6,07%","2,5%"
"2024/06/03","2,745355","1239989919","0","0,25","0%","3,51%","8,74%","14,83%","8,22%","6,16%","2,52%"
"2024/05/31","2,746702","1240598316","0","-0,67","-0%","4,13%","9,16%","14,85%","8,38%","6,15%","2,52%"
"2024/05/30","2,7487","1241500750","0","1993434,51","0,16%","4,2%","9,24%","14,98%","8,31%","6,13%","2,53%"
"2024/05/29","2,740184","1235667084","0","7488,97","0%","3,88%","8,79%","14,75%","8,19%","6,04%","2,49%"
"2024/05/28","2,73678","1234124594","0","24680,53","0%","3,94%","8,95%","14,61%","8,15%","6%","2,48%"
"2024/05/27","2,733917","1232808897","0","-0,06","-0%","3,79%","9,03%","14,49%","8,19%","5,97%","2,47%"
"2024/05/24","2,733845","1232776430","0","-0,27","-0%","3,58%","9,41%","14,42%","8,15%","5,95%","2,48%"
"2024/05/23","2,73213","1232003083","0","83477,61","0,01%","3,51%","9,18%","14,26%","8,13%","5,92%","2,47%"
"2024/05/22","2,746751","1238512226","0","4650581,94","0,38%","4,34%","9,6%","14,84%","8,32%","6,04%","2,53%"
"2024/05/21","2,758514","1239145674","0","76710,92","0,01%","5,19%","10,09%","15,38%","8,48%","6,12%","2,57%"
"2024/05/17","2,753093","1236633959","0","26952,98","0%","5,12%","10,11%","15,31%","8,14%","6,11%","2,55%"
"2024/05/16","2,736248","1229040736","0","114774,91","0,01%","4,48%","9,41%","14,52%","7,87%","6%","2,49%"
"2024/05/15","2,738971","1230148937","0","-24390,31","-0%","4,52%","9,74%","14,62%","7,91%","5,99%","2,49%"
"2024/05/14","2,731314","1226734285","0","-383580,3","-0,03%","4,46%","9,42%","14,36%","7,81%","5,97%","2,46%"
"2024/05/13","2,724707","1224149489","0","5908570,06","0,48%","4,41%","9,6%","14,09%","7,78%","5,91%","2,44%"
"2024/05/10","2,727626","1219546030","0","0,8","0%","4,75%","9,7%","14,2%","7,82%","5,94%","2,46%"
"2024/05/09","2,729166","1220234577","0","1076047,12","0,09%","4,81%","9,58%","14,42%","7,74%","5,93%","2,47%"
"2024/05/08","2,728044","1218657316","0","59473404,64","5,13%","4,89%","9,44%","14,41%","7,72%","5,92%","2,46%"
"2024/05/07","2,728083","1159200483","0","-12697141,7","-1,08%","5,09%","9,6%","14,33%","7,72%","5,92%","2,46%"
"2024/05/06","2,731454","1173345699","0","189486,97","0,02%","5,22%","9,97%","14,48%","7,77%","5,95%","2,45%"
"2024/05/03","2,715664","1166374426","0","-26402,32","-0%","4,46%","9,12%","13,88%","7,55%","5,82%","2,36%"
"2024/05/02","2,704771","1161722192","0","0,17","0%","4,04%","8,87%","13,55%","7,42%","5,74%","2,32%"
"2024/04/30","2,704732","1161705441","0","-346278,4","-0,03%","4,35%","9,28%","13,75%","7,42%","5,75%","2,32%"
"2024/04/29","2,708962","1163869082","0","-290425,59","-0,02%","4,45%","9,55%","13,92%","7,41%","5,77%","2,33%"
"2024/04/26","2,705612","1162719866","0","-0,34","-0%","4,58%","9,48%","13,77%","7,34%","5,74%","2,33%"
"2024/04/25","2,696056","1158613235","0","5904761,72","0,51%","4,17%","9,12%","13,36%","7,23%","5,67%","2,29%"
"2024/04/24","2,699054","1153990279","0","29638,7","0%","4,27%","9,27%","13,64%","7,27%","5,72%","2,3%"
"2024/04/23","2,700736","1154679767","0","-0,13","-0%","4,22%","9,32%","13,88%","7,29%","5,74%","2,29%"
"2024/04/22","2,699912","1154327472","0","1005982","0,09%","4,15%","9,28%","13,84%","7,23%","5,73%","2,28%"
"2024/04/19","2,687326","1147945128","0","624977,74","0,05%","3,76%","8,79%","13,51%","7,08%","5,63%","2,24%"
"2024/04/18","2,691056","1148912627","0","41861,99","0%","4,02%","8,99%","13,7%","7,13%","5,66%","2,26%"
"2024/04/17","2,689353","1148143717","0","881034,97","0,08%","4,19%","8,93%","13,71%","7,11%","5,67%","2,25%"
"2024/04/16","2,697475","1150727481","0","305105,86","0,03%","4,41%","9,29%","14,03%","7,21%","5,73%","2,27%"
"2024/04/15","2,696525","1150017218","0","671704,74","0,06%","4,5%","9,32%","13,99%","7,21%","5,69%","2,28%"
"2024/04/12","2,70309","1152143727","0","44649,74","0%","4,78%","9,49%","14,08%","7,33%","5,72%","2,3%"
"2024/04/11","2,71347","1156523195","0","54228,52","0%","5,31%","9,75%","14,69%","7,45%","5,76%","2,34%"
"2024/04/10","2,698498","1150087966","0","622576,24","0,05%","4,93%","9,28%","13,96%","7,25%","5,63%","2,29%"
"2024/04/09","2,706351","1152810492","0","142223,97","0,01%","5,64%","9,77%","14,29%","7,36%","5,69%","2,32%"
"2024/04/08","2,700454","1150156663","0","20025,77","0%","5,24%","9,73%","14,04%","7,26%","5,63%","2,3%"
"2024/04/05","2,696807","1148583362","0","695690,32","0,06%","4,94%","9,59%","13,93%","7,18%","5,6%","2,28%"
"2024/04/04","2,682658","1141865193","0","56306,6","0%","4,32%","9,04%","13,43%","6,99%","5,51%","2,23%"
"2024/04/03","2,695262","1147173476","0","-1864383,41","-0,16%","4,77%","9,59%","14,14%","7,16%","5,63%","2,28%"
"2024/04/02","2,684083","1144272054","0","1001469,44","0,09%","4,36%","9,15%","13,85%","7,01%","5,45%","2,24%"
"2024/03/28","2,680142","1141591937","0","1995674,02","0,18%","4,33%","9,02%","13,84%","6,95%","5,37%","2,21%"
"2024/03/27","2,679567","1139351773","0","176403,97","0,02%","4,35%","9,05%","13,79%","6,95%","5,36%","2,18%"
"2024/03/26","2,672275","1136075291","0","99792,94","0,01%","4,1%","8,79%","13,37%","6,85%","5,38%","2,16%"
"2024/03/25","2,677792","1138320757","0","99646,51","0,01%","4,31%","9,01%","13,6%","6,92%","5,43%","2,2%"
"2024/03/22","2,681561","1139823160","0","23551,95","0%","4,46%","9,33%","13,79%","7,01%","5,49%","2,2%"
"2024/03/21","2,68156","1139799183","0","244022,23","0,02%","4,46%","9,33%","13,88%","6,98%","5,56%","2,2%"
"2024/03/20","2,672503","1135706300","0","2263823,77","0,2%","4,16%","8,86%","13,67%","6,86%","5,48%","2,16%"
"2024/03/19","2,661969","1128974873","0","16014,07","0%","3,93%","8,57%","13,47%","6,72%","5,47%","2,12%"
"2024/03/18","2,658108","1127321383","0","0,02","0%","3,96%","8,45%","13,31%","6,63%","5,43%","2,1%"
"2024/03/14","2,640515","1119860074","0","86109,78","0,01%","3,48%","7,6%","12,33%","6,46%","5,26%","2,02%"
"2024/03/13","2,642024","1120413892","0","-12111621,29","-1,07%","3,71%","7,68%","12,31%","6,48%","5,27%","2,03%"
"2024/03/12","2,64182","1132438067","0","-545184,76","-0,05%","3,91%","7,63%","12,4%","6,47%","5,27%","2,03%"
"2024/03/11","2,633535","1129430108","0","-6400670,05","-0,56%","3,77%","7,33%","12,05%","6,35%","5,2%","2%"
"2024/03/08","2,640217","1138712692","0","12340,06","0%","4,05%","7,6%","12,67%","6,54%","5,25%","1,98%"
"2024/03/07","2,647878","1142004468","0","-1775711,62","-0,15%","4,07%","7,82%","13,1%","6,74%","5,31%","2,01%"
"2024/03/06","2,652927","1145961151","0","7569206,44","0,67%","4,34%","8,08%","13,26%","6,81%","5,35%","2,03%"
"2024/03/05","2,644544","1134794733","0","-524571,22","-0,05%","4,18%","7,8%","13,05%","6,7%","5,28%","2%"
"2024/03/04","2,650894","1138045399","0","-250298,15","-0,02%","4,83%","7,91%","13,32%","6,76%","5,33%","2,02%"
"2024/03/01","2,652139","1138830301","0","2556039,17","0,23%","5,05%","8,02%","13,73%","6,65%","5,34%","2,03%"
"2024/02/29","2,637869","1130160467","0","0,05","0%","4,73%","7,53%","13,03%","6,47%","5,23%","1,97%"
"2024/02/28","2,633049","1128095401","0","25967,22","0%","4,82%","7,53%","12,82%","6,41%","5,19%","1,95%"
"2024/02/27","2,634129","1128532135","0","23978,7","0%","5,05%","7,55%","12,89%","6,42%","5,15%","1,95%"
"2024/02/26","2,636162","1129379130","0","1003468,18","0,09%","5,5%","7,63%","13,21%","6,45%","5,11%","1,96%"
"2024/02/23","2,639384","1129754798","0","792558,97","0,07%","5,47%","7,83%","13,24%","6,33%","5,16%","1,97%"
"2024/02/22","2,63257","1126047639","0","73198,72","0,01%","5,04%","7,59%","13,03%","6,23%","5,1%","1,94%"
"2024/02/21","2,622292","1121578445","0","15828,27","0%","4,66%","7,2%","12,61%","6,18%","5,02%","1,9%"
"2024/02/20","2,621715","1121315832","0","-7087072,91","-0,63%","4,84%","7,24%","12,52%","6,17%","5,02%","1,91%"
"2024/02/19","2,61954","1127466771","0","24982,81","0%","4,77%","7,15%","12,5%","6,14%","5%","1,9%"
"2024/02/16","2,619028","1127221425","0","-318326,75","-0,03%","4,72%","7,19%","12,44%","5,98%","4,98%","1,9%"
"2024/02/15","2,620427","1128142047","0","6425,09","0%","4,99%","7,27%","12,61%","5,92%","4,99%","1,91%"
"2024/02/14","2,614665","1125654989","0","9995,38","0%","4,75%","7,11%","12,41%","5,93%","4,94%","1,89%"
"2024/02/13","2,609667","1123493294","0","29220,46","0%","4,97%","6,96%","12,19%","5,86%","4,89%","1,89%"
"2024/02/12","2,607476","1122520846","0","-71727048,63","-6,01%","4,87%","6,87%","12,39%","5,84%","4,87%","1,88%"
"2024/02/09","2,603914","1192616466","0","-6849978,53","-0,57%","4,55%","6,78%","12,08%","5,8%","4,82%","1,92%"
"2024/02/08","2,600831","1198046292","0","4532559,12","0,38%","4,34%","6,69%","12,13%","5,78%","4,8%","1,91%"
"2024/02/07","2,595904","1191252747","0","-6012044","-0,5%","4,29%","6,51%","12,02%","5,85%","4,76%","1,89%"
"2024/02/06","2,595965","1197292925","0","62126,69","0,01%","4,51%","6,6%","12,06%","5,85%","4,74%","1,89%"
"2024/02/05","2,598253","1198285999","0","-16025109,47","-1,32%","4,4%","6,69%","12,16%","5,88%","4,75%","1,9%"
"2024/02/02","2,599684","1214979896","0","-941325,56","-0,08%","4,64%","6,84%","12,26%","6,12%","4,77%","1,91%"
"2024/02/01","2,59731","1214810857","0","296698,86","0,02%","4,87%","6,64%","12,43%","6,18%","4,75%","1,9%"
"2024/01/31","2,591177","1211646339","0","0,3","0%","4,63%","5,98%","12,19%","6,15%","4,7%","1,88%"
"2024/01/30","2,591978","1212020890","0","9994,33","0%","4,72%","6,1%","12,26%","6,16%","4,71%","1,88%"
"2024/01/29","2,593455","1212701542","0","23205,88","0%","4,88%","6,16%","12,33%","6,18%","4,72%","1,86%"
"2024/01/26","2,587213","1209759628","0","0,56","0%","4,69%","6,62%","12,04%","5,97%","4,66%","1,83%"
"2024/01/25","2,588025","1210139312","0","-998299,77","-0,08%","4,75%","6,69%","12,2%","5,93%","4,67%","1,84%"
"2024/01/24","2,588505","1211362241","0","16049,12","0%","4,79%","6,68%","12,22%","5,86%","4,67%","1,84%"
"2024/01/23","2,591468","1212732791","0","-305712,89","-0,03%","4,89%","6,8%","12,38%","5,9%","4,67%","1,79%"
"2024/01/22","2,592432","1213489742","0","5528913,08","0,46%","4,93%","6,84%","12,69%","5,91%","4,68%","1,81%"
"2024/01/19","2,589918","1206789414","0","55022,72","0%","4,84%","6,79%","12,75%","5,88%","4,66%","1,83%"
"2024/01/18","2,587122","1205431636","0","45406,64","0%","4,78%","6,71%","12,43%","5,85%","4,63%","1,82%"
"2024/01/17","2,581079","1202570688","0","-7487258,65","-0,62%","4,55%","6,46%","12,1%","5,76%","4,59%","1,8%"
"2024/01/16","2,58363","1211253903","0","7924060,95","0,66%","4,68%","6,44%","12,26%","5,79%","4,61%","1,8%"
"2024/01/15","2,580502","1201872971","0","65371,81","0,01%","4,61%","6,31%","12,27%","5,75%","4,58%","1,82%"
"2024/01/12","2,579772","1201467619","0","-0,35","-0%","4,49%","6,51%","12,36%","5,74%","4,57%","1,78%"
"2024/01/11","2,576551","1199967515","0","400981,23","0,03%","4,21%","6,72%","12,35%","5,68%","4,54%","1,76%"
"2024/01/10","2,57165","1197284772","0","6128,08","0%","4,14%","6,65%","12,44%","5,59%","4,5%","1,74%"
"2024/01/09","2,561808","1192696521","0","-997012,4","-0,08%","3,91%","6,28%","11,77%","5,45%","4,42%","1,72%"
"2024/01/08","2,565907","1195603493","0","-2190275,99","-0,18%","4,26%","6,45%","12,32%","5,51%","4,45%","1,73%"
"2024/01/05","2,56985","1199634405","0","-1365908,78","-0,11%","4,43%","6,76%","12,95%","5,69%","4,48%","1,8%"
"2024/01/04","2,571497","1201770027","0","32351,6","0%","4,53%","6,79%","12,74%","5,68%","4,49%","1,81%"
"2024/01/03","2,572614","1202259683","0","-1296818106,3","-51,91%","4,6%","6,87%","13,25%","5,69%","4,5%","1,81%"
"2024/01/02","2,571935","2498418198","0","0,01","0%","4,59%","6,94%","13,31%","5,68%","4,5%","1,82%"
"2023/12/31","2,570362","2496890161","0","7611152,69","0,31%","4,56%","6,88%","13,31%","5,66%","4,48%","1,77%"
"2023/12/29","2,569972","2488901311","0","36458,11","0%","4,54%","6,89%","13,33%","5,63%","4,47%","1,79%"
"2023/12/28","2,568887","2487814095","0","-6128031,28","-0,25%","4,5%","6,88%","13,4%","5,62%","4,47%","1,79%"
"2023/12/27","2,567843","2492928584","0","41542,88","0%","4,5%","6,87%","13,34%","5,67%","4,46%","1,78%"
"2023/12/22","2,567113","2492178350","0","-14981,93","-0%","4,67%","6,96%","13,06%","5,77%","4,44%","1,77%"
"2023/12/21","2,567015","2492098192","0","-12961069,63","-0,52%","4,66%","7,02%","13,13%","5,79%","4,44%","1,77%"
"2023/12/20","2,565889","2503960438","0","73318,19","0%","4,51%","6,98%","13,12%","5,59%","4,43%","1,77%"
"2023/12/19","2,561324","2499432428","0","29367,92","0%","4,46%","6,74%","12,76%","5,53%","4,39%","1,77%"
"2023/12/18","2,556734","2494924025","0","144256,02","0,01%","4,32%","6,53%","12,41%","5,46%","4,36%","1,8%"
"2023/12/15","2,55959","2497566563","0","-595373,42","-0,02%","4,36%","6,73%","12,61%","5,59%","4,37%","1,8%"
"2023/12/14","2,55175","2490510090","0","-138263,71","-0,01%","3,98%","6,48%","12,28%","5,53%","4,31%","1,77%"
"2023/12/13","2,54761","2486607486","0","-3046394,09","-0,12%","3,83%","6,41%","12,13%","5,5%","4,27%","1,75%"
"2023/12/12","2,542426","2484587812","0","-7008730,78","-0,28%","3,59%","6,32%","12,12%","5,43%","4,22%","1,76%"
"2023/12/11","2,537787","2487050288","0","1282964,74","0,05%","3,43%","6,21%","11,92%","5,37%","4,2%","1,75%"
"2023/12/08","2,5374","2485388256","0","76819,83","0%","3,41%","6,13%","11,76%","5,11%","4,15%","1,78%"
"2023/12/07","2,544256","2492026694","0","30022,45","0%","3,6%","6,49%","11,96%","5,23%","4,2%","1,8%"
"2023/12/06","2,5425","2490276740","0","20034,7","0%","3,59%","6,36%","12,09%","5,22%","4,19%","1,8%"
"2023/12/05","2,538371","2486212548","0","82388,01","0%","3,47%","6,2%","12,15%","5,16%","4,08%","1,78%"
"2023/12/04","2,528751","2476708144","0","-7338951,14","-0,3%","2,94%","5,77%","11,61%","5,03%","4%","1,73%"
"2023/12/01","2,524707","2480074586","0","18854941,61","0,77%","2,83%","5,46%","11,44%","4,96%","3,86%","1,71%"
"2023/11/30","2,516248","2452973358","0","9989,22","0%","2,48%","5,26%","11,44%","4,86%","3,79%","1,68%"
"2023/11/29","2,518853","2455502852","0","-20543833,25","-0,83%","2,67%","5,48%","11,62%","4,86%","3,84%","1,69%"
"2023/11/28","2,511884","2469196119","0","-168843,68","-0,01%","2,58%","5,19%","11,25%","4,76%","3,8%","1,67%"
"2023/11/27","2,507537","2465091545","0","-300,83","-0%","2,38%","5,01%","11,12%","4,7%","3,86%","1,67%"
"2023/11/24","2,498796","2456498805","0","38833,43","0%","2,05%","4,58%","10,77%","4,61%","3,82%","1,68%"
"2023/11/23","2,502495","2460096301","0","0,17","0%","2,24%","4,65%","10,97%","4,7%","3,85%","1,7%"
"2023/11/22","2,506172","2463711003","0","23558,21","0%","2,42%","4,78%","11,33%","4,72%","3,86%","1,71%"
"2023/11/21","2,505635","2463159548","0","-1595864,45","-0,06%","2,43%","4,8%","11,53%","4,71%","3,85%","1,73%"
"2023/11/20","2,500685","2459886172","0","-507151,53","-0,02%","2,29%","4,6%","11,39%","4,65%","3,79%","1,76%"
"2023/11/17","2,500369","2460082415","0","189990,67","0,01%","2,3%","4,72%","11,37%","4,58%","3,69%","1,74%"
"2023/11/16","2,500987","2460500420","0","-5918658,36","-0,24%","2,36%","4,68%","11,35%","4,64%","3,69%","1,74%"
"2023/11/15","2,495836","2461339274","0","1225710,8","0,05%","2,17%","4,44%","11,41%","4,65%","3,64%","1,72%"
"2023/11/14","2,496086","2460359985","0","25826,61","0%","2,26%","4,51%","11,59%","4,65%","3,68%","1,74%"
"2023/11/13","2,486086","2450477390","0","1053090,79","0,04%","1,9%","4,1%","11,25%","4,51%","3,51%","1,72%"
"2023/11/10","2,486484","2449816430","0","2502064,41","0,1%","1,94%","4,1%","11,3%","4,43%","3,48%","1,74%"
"2023/11/09","2,490486","2451253322","0","-2598909,54","-0,11%","2,13%","4,41%","11,75%","4,57%","3,51%","1,75%"
"2023/11/08","2,492725","2456058297","0","6026913,98","0,25%","2,25%","4,54%","11,72%","4,37%","3,51%","1,76%"
"2023/11/07","2,489237","2446603123","0","67500,42","0%","2,13%","4,32%","11,58%","4,33%","3,48%","1,77%"
"2023/11/06","2,48393","2441319661","0","-1288345,02","-0,05%","2%","4,1%","11,45%","4,25%","3,47%","1,74%"
"2023/11/03","2,488789","2447386173","0","-2258459,62","-0,09%","2,22%","4,37%","11,74%","4,32%","3,53%","1,78%"
"2023/11/02","2,484341","2445266592","0","-10212645,59","-0,42%","2,1%","4,3%","11,59%","4,19%","3,5%","1,76%"
"2023/10/31","2,476591","2447819273","0","-2221061,59","-0,09%","1,3%","4,15%","11,4%","4,09%","3,43%","1,73%"
"2023/10/30","2,475157","2448621708","0","-0,03","-0%","1,32%","4,09%","11,34%","4,07%","3,44%","1,7%"
"2023/10/27","2,472805","2446294923","0","54206,36","0%","1,47%","4,09%","11,27%","4,22%","3,43%","1,7%"
"2023/10/26","2,471373","2444824100","0","-2532020,92","-0,1%","1,85%","3,92%","11,24%","4,21%","3,42%","1,69%"
"2023/10/25","2,470742","2446731253","0","7301,64","0%","1,86%","3,89%","11,25%","4,19%","3,41%","1,69%"
"2023/10/24","2,470092","2446080270","0","-2645305,28","-0,11%","1,8%","4%","11,26%","4,18%","3,41%","1,69%"
"2023/10/20","2,470597","2449226207","0","-10706680,49","-0,44%","1,94%","4,22%","11,39%","4,17%","3,37%","1,71%"
"2023/10/19","2,470292","2459629204","0","64521,54","0%","1,86%","4,34%","11,49%","4,17%","3,37%","1,71%"
"2023/10/18","2,469146","2458423659","0","-9689413,22","-0,39%","1,84%","4,33%","11,38%","4,16%","3,36%","1,7%"
"2023/10/17","2,468776","2467743227","0","-8534988,29","-0,34%","1,82%","4,38%","11,13%","4,16%","3,33%","1,72%"
"2023/10/16","2,468099","2475599158","0","-17150792,61","-0,69%","1,68%","4,34%","11,11%","4,15%","3,34%","1,74%"
"2023/10/13","2,46667","2491306678","0","-17708806,62","-0,71%","1,67%","4,08%","10,62%","4,17%","3,32%","1,76%"
"2023/10/12","2,468875","2511258338","0","0,43","0%","1,93%","4,2%","10,65%","4,12%","3,34%","1,77%"
